day,San_Lorenzo,Reyes,Sena,Santa_Rosa_Pando,Ixiamas,Porvenir,Nueva_Esperanza,Santa_Rosa_Beni,Bella_Flor,Puerto_Gonzalo_Moreno,Puerto_Rico,Bolpebra,Guayamerin,Riberalta,Exaltacion,Cobija,San_Pedro,Villa_Nueva,Santos_Mercado,Filadelfia,Ingavi
1,4307.615272424881,4600.008982744516,3872.3568963099037,4303.768908954562,5064.6365200961145,4471.5641104157485,4444.176483201137,4049.55291370342,4397.340480278762,4250.481772698854,4365.707843566433,4459.427986214835,4214.022285758214,4250.486964297027,4296.339884662323,4452.426657995657,4426.647510050452,3758.9340810093563,3665.6787378399554,4487.0879814659775,4338.92499936552
2,4304.903108907843,4597.296819227477,3869.6447327928645,4301.056745437523,5061.924356579076,4468.85194689871,4441.464319684098,4046.8407501863812,4394.628316761723,4247.769609181815,4362.995680049395,4456.715822697796,4211.310122241174,4247.774800779988,4293.627721145284,4449.714494478618,4423.935346533413,3756.221917492317,3662.9665743229166,4484.375817948939,4336.2128358484815
3,4302.278746072818,4594.672456392454,3867.020369957841,4298.4323826025,5059.299993744052,4466.227584063687,4438.839956849074,4044.2163873513578,4392.003953926698,4245.145246346791,4360.37131721437,4454.091459862772,4208.685759406151,4245.150437944964,4291.003358310261,4447.090131643594,4421.31098369839,3753.5975546572936,3660.342211487893,4481.751455113916,4333.5884730134585
4,4299.742961575155,4592.136671894791,3864.4845854601786,4295.896598104837,5056.764209246389,4463.691799566024,4436.3041723514125,4041.6806028536953,4389.468169429036,4242.609461849129,4357.835532716707,4451.555675365111,4206.149974908489,4242.614653447302,4288.467573812599,4444.554347145931,4418.775199200728,3751.061770159631,3657.8064269902306,4479.215670616253,4331.052688515796
5,4297.2965068225285,4589.6902171421625,3862.038130707551,4293.450143352209,5054.317754493762,4461.245344813396,4433.857717598784,4039.234148101067,4387.021714676409,4240.163007096501,4355.389077964081,4449.109220612483,4203.703520155861,4240.168198694674,4286.02111905997,4442.107892393305,4416.328744448099,3748.6153154070034,3655.3599722376025,4476.769215863625,4328.606233763167
6,4294.940106752277,4587.333817071913,3859.6817306372996,4291.093743281958,5051.961354423511,4458.888944743145,4431.501317528533,4036.8777480308163,4384.665314606157,4237.806607026249,4353.032677893829,4446.752820542231,4201.34712008561,4237.811798624423,4283.66471898972,4439.751492323053,4413.972344377849,3746.258915336752,3653.0035721673516,4474.412815793375,4326.2498336929175
7,4292.674459616599,4585.068169936235,3857.416083501622,4288.82809614628,5049.695707287832,4456.623297607467,4429.235670392855,4034.6121008951386,4382.3996674704795,4235.540959890572,4350.767030758151,4444.487173406554,4199.0814729499325,4235.546151488746,4281.399071854043,4437.485845187375,4411.706697242172,3743.9932682010744,3650.737925031674,4472.147168657696,4323.984186557239
8,4290.500236775635,4582.893947095271,3855.2418606606584,4286.653873305318,5047.521484446869,4454.449074766503,4427.061447551891,4032.437878054175,4380.225444629516,4233.366737049608,4348.592807917187,4442.31295056559,4196.907250108969,4233.371928647782,4279.224849013079,4435.311622346411,4409.532474401208,3741.819045360111,3648.56370219071,4469.972945816733,4321.809963716276
9,4288.4180824985415,4580.811792818177,3853.159706383564,4284.571719028222,5045.4393301697755,4452.366920489409,4424.979293274798,4030.355723777081,4378.143290352422,4231.284582772514,4346.510653640094,4440.230796288496,4194.825095831875,4231.289774370688,4277.142694735985,4433.229468069318,4407.450320124114,3739.736891083017,3646.4815479136164,4467.8907915396385,4319.727809439181
10,4286.428613772561,4578.822324092196,3851.170237657584,4282.582250302243,5043.449861443795,4450.377451763429,4422.9898245488175,4028.3662550511003,4376.153821626442,4229.295114046535,4344.521184914113,4438.241327562517,4192.835627105895,4229.300305644707,4275.153226010005,4431.239999343337,4405.460851398133,3737.7474223570366,3644.492079187636,4465.901322813658,4317.738340713201
